length,uppercase_count,lowercase_count,digit_count,special_char_count,shannon_entropy,has_common_pattern,has_dictionary_word,consecutive_chars,char_diversity_ratio,keyboard_pattern,password,label,label_name
17,6,6,3,2,3.8522,0,0,1,0.8824,0,sGiTsk5!39i)ZSjIO,2,Strong
10,0,6,4,0,2.9219,0,0,2,0.8,0,4ir833sicv,1,Medium
7,0,7,0,0,2.5216,0,0,1,0.8571,0,qvbulhb,0,Weak
12,6,6,0,0,3.2516,0,0,1,0.8333,0,dANHAzyqtKLz,1,Medium
8,4,4,0,0,2.5,0,0,2,0.75,0,WXlIkkjX,1,Medium
12,6,6,0,0,3.0221,0,0,1,0.75,0,fBIqBDBuCkqx,1,Medium
7,0,7,0,0,0.0,0,0,7,0.1429,0,eeeeeee,0,Weak
13,4,4,3,2,3.5466,0,0,1,0.9231,0,fe1T$CJ#J68ru,2,Strong
7,0,7,0,0,2.5216,1,0,1,0.8571,0,letmein,0,Weak
4,0,0,4,0,1.5,0,0,2,0.75,0,5223,0,Weak
14,1,9,2,2,3.5216,0,0,2,0.8571,0,River-ocean11!,2,Strong
4,0,4,0,0,2.0,0,0,1,1.0,0,vnhe,0,Weak
7,0,0,7,0,2.5216,0,0,1,0.8571,0,9527137,0,Weak
11,7,4,0,0,3.2776,0,0,1,0.9091,0,DadBSYqsJPB,1,Medium
7,0,0,7,0,2.5216,0,0,1,0.8571,0,8912085,0,Weak
6,0,6,0,0,0.0,0,0,6,0.1667,0,uuuuuu,0,Weak
6,0,6,0,0,2.585,1,0,1,1.0,1,qwerty,0,Weak
7,0,7,0,0,0.0,0,0,7,0.1429,0,qqqqqqq,0,Weak
9,2,7,0,0,2.9477,0,0,2,0.8889,0,TzztIdlkh,1,Medium
9,0,7,2,0,2.9477,0,0,1,0.8889,0,x2bd2fmoq,1,Medium
14,6,4,2,2,3.5216,0,0,1,0.8571,0,lEbUY0#5ZO#gIg,2,Strong
5,0,5,0,0,1.371,0,0,2,0.6,0,ggogp,0,Weak
15,7,3,3,2,3.7736,0,0,1,0.9333,0,V0AGZn$SQK04gh%,2,Strong
10,0,9,0,1,3.1219,0,0,1,0.9,0,tgnha#ubus,1,Medium
11,7,4,0,0,3.2776,0,0,1,0.9091,0,GPXQWdUxeUo,1,Medium
17,3,10,3,1,3.7345,0,0,2,0.8235,0,wqxLssB@jy43xm3oJ,2,Strong
8,0,8,0,0,2.75,1,1,2,0.875,0,password,0,Weak
14,3,5,3,3,3.5216,0,0,1,0.8571,0,lGp#Gd2P6mw$^2,2,Strong
6,0,6,0,0,2.2516,0,0,1,0.8333,0,pafrwp,0,Weak
14,1,9,2,2,3.6645,0,0,1,0.9286,0,Pixel-horse63%,2,Strong
9,0,8,1,0,2.9477,0,0,1,0.8889,0,gtvyfyk3m,1,Medium
6,0,0,6,0,1.7925,0,0,2,0.6667,0,057554,0,Weak
14,1,9,2,2,3.5216,0,0,1,0.8571,0,Pixel-flame68@,2,Strong
9,5,4,0,0,3.1699,0,0,1,1.0,0,IDidBLjRh,1,Medium
7,0,7,0,0,0.0,0,0,7,0.1429,0,ddddddd,0,Weak
7,0,0,7,0,2.2359,0,0,2,0.7143,0,0263770,0,Weak
7,0,7,0,0,2.2359,0,0,2,0.7143,0,jbnfuuj,0,Weak
6,0,6,0,0,2.2516,0,0,1,0.8333,0,aiyite,0,Weak
4,0,0,4,0,1.5,0,0,1,0.75,0,0650,0,Weak
8,0,5,3,0,3.0,0,0,1,1.0,0,4jse17qu,1,Medium
9,4,5,0,0,3.1699,0,0,1,1.0,0,hkbWFXMro,1,Medium
8,0,7,1,0,3.0,0,0,1,1.0,0,4agcstnp,1,Medium
10,0,9,0,1,2.9219,0,0,1,0.8,0,tzkqei#ewi,1,Medium
7,0,7,0,0,2.5216,0,0,2,0.8571,0,wcctpjz,0,Weak
10,0,9,0,1,2.9219,0,0,2,0.8,0,iicje@qrxc,1,Medium
15,7,4,2,2,3.6402,0,0,2,0.8667,0,ohhRZqQG^7T8!BB,2,Strong
14,6,3,3,2,3.8074,0,0,1,1.0,0,G&FC0E8cN7lW^d,2,Strong
8,0,7,1,0,2.75,0,0,1,0.875,0,0rwrnbfz,1,Medium
5,0,5,0,0,0.0,0,0,5,0.2,0,ppppp,0,Weak
6,0,6,0,0,0.0,0,0,6,0.1667,0,dddddd,0,Weak
16,1,11,2,2,3.625,0,0,2,0.8125,0,Flame-correct97#,2,Strong
13,4,3,3,3,3.5466,0,0,1,0.9231,0,sB%@US!B8gj49,2,Strong
14,1,9,2,2,3.6645,0,0,1,0.9286,0,Pixel-ocean73#,2,Strong
16,8,4,3,1,3.75,0,0,1,0.875,0,13mTQiA^XYHA3reC,2,Strong
9,0,8,0,1,2.7255,0,0,2,0.7778,0,gbbypc#mm,1,Medium
8,0,7,0,1,2.5,0,0,2,0.75,0,be#dyybu,1,Medium
4,0,4,0,0,2.0,0,0,1,1.0,0,htxi,0,Weak
10,0,6,4,0,3.3219,0,0,1,1.0,0,or9f5iv86z,1,Medium
17,2,8,4,3,3.9698,0,0,1,0.9412,0,3v%d7BrnvZ$6g1la*,2,Strong
5,0,5,0,0,0.0,0,0,5,0.2,0,uuuuu,0,Weak
14,1,9,2,2,3.6645,0,0,1,0.9286,0,Tiger-storm17%,2,Strong
11,0,8,3,0,3.0958,0,0,2,0.8182,0,a1jqnn6tj9x,1,Medium
15,1,10,2,2,3.7736,0,0,1,0.9333,0,Staple-horse63#,2,Strong
19,8,5,3,3,3.8924,0,0,2,0.8421,0,EFcPJ%Sj02%PPqx7A@e,2,Strong
5,0,5,0,0,0.0,0,0,5,0.2,0,yyyyy,0,Weak
11,0,10,1,0,3.0958,0,0,1,0.8182,0,gyajpgz6tpb,1,Medium
16,3,7,4,2,3.75,0,0,1,0.875,0,z!72owJz!MD65sgf,2,Strong
8,0,5,3,0,2.75,0,0,1,0.875,0,w6l01wcn,1,Medium
8,0,6,2,0,3.0,0,0,1,1.0,0,d5xrsi7e,1,Medium
7,0,7,0,0,2.5216,0,0,2,0.8571,0,jessica,0,Weak
15,1,10,2,2,3.7736,0,0,1,0.9333,0,Storm-staple98#,2,Strong
14,4,7,2,1,3.6645,0,0,1,0.9286,0,sfas!KvrDl8IG3,2,Strong
6,0,0,6,0,1.9183,0,0,1,0.6667,0,630365,0,Weak
11,0,7,4,0,3.0958,0,0,2,0.8182,0,ccfs7i19mo1,1,Medium
16,6,7,2,1,3.875,0,0,1,0.9375,0,oSKincPoQY#8w1Dy,2,Strong
5,0,5,0,0,1.371,0,0,2,0.6,0,bnwbb,0,Weak
4,0,4,0,0,0.0,0,0,4,0.25,0,kkkk,0,Weak
10,0,9,0,1,3.1219,0,0,1,0.9,0,dufea!pvuo,1,Medium
10,0,9,0,1,2.9219,0,0,1,0.8,0,gksl#gubil,1,Medium
6,0,6,0,0,0.0,0,0,6,0.1667,0,cccccc,0,Weak
8,0,7,0,1,2.75,0,0,1,0.875,0,fusyr!zy,1,Medium
5,0,5,0,0,2.3219,0,0,1,1.0,0,dbywk,0,Weak
5,0,5,0,0,1.9219,0,0,2,0.8,0,tmggq,0,Weak
11,5,6,0,0,3.2776,0,0,1,0.9091,0,PLSnQrYmxcx,1,Medium
14,1,9,2,2,3.6645,0,0,1,0.9286,0,Cloud-flame47#,2,Strong
8,0,8,0,0,2.5,0,0,1,0.75,0,sunshine,0,Weak
14,1,9,2,2,3.5216,0,0,2,0.8571,0,Apple-horse48@,2,Strong
20,6,9,2,3,3.9842,0,0,1,0.85,0,ktm@#P(Dm0Xn7fnNdQAm,2,Strong
6,0,6,0,0,0.0,0,0,6,0.1667,0,kkkkkk,0,Weak
15,6,6,1,2,3.6402,0,0,1,0.8667,0,r^PN8mTvOSv(xlP,2,Strong
6,0,0,6,0,2.585,1,0,1,1.0,1,123456,0,Weak
6,0,0,6,0,1.9183,0,0,2,0.6667,0,752217,0,Weak
8,0,7,0,1,2.75,0,0,1,0.875,0,xr#grspj,1,Medium
10,0,7,3,0,3.1219,0,0,1,0.9,0,1o0lqbyg6g,1,Medium
15,1,10,2,2,3.1899,0,0,2,0.6667,0,Staple-apple60!,2,Strong
9,0,8,0,1,3.1699,0,0,1,1.0,0,zsfjr@vpk,1,Medium
4,0,4,0,0,2.0,0,0,1,1.0,0,qrof,0,Weak
10,4,6,0,0,3.1219,0,0,1,0.9,0,TElWqmjYjr,1,Medium
9,6,3,0,0,3.1699,0,0,1,1.0,0,YABKxbiDV,1,Medium
14,1,9,2,2,3.2359,0,0,1,0.7143,0,Horse-horse47!,2,Strong
11,0,9,2,0,2.914,0,0,1,0.7273,0,tdo1dfsts3y,1,Medium
5,0,5,0,0,0.0,0,0,5,0.2,0,ggggg,0,Weak
7,0,7,0,0,2.8074,0,0,1,1.0,0,michael,0,Weak
6,0,6,0,0,2.585,0,0,1,1.0,0,aupkgz,0,Weak
19,8,7,1,3,3.9321,0,0,2,0.8421,0,W0^KKi$gheiB(IwGESh,2,Strong
11,6,5,0,0,3.2776,0,0,1,0.9091,0,LYKfvMfPhEt,1,Medium
10,0,9,0,1,3.1219,0,0,1,0.9,0,cpra%wrsvj,1,Medium
10,0,9,0,1,3.1219,0,0,1,0.9,0,mywmjfxe@z,1,Medium
8,0,8,0,0,2.75,1,1,2,0.875,0,password,0,Weak
5,0,5,0,0,2.3219,0,0,1,1.0,0,vityk,0,Weak
6,0,6,0,0,2.2516,0,0,1,0.8333,0,qdbazd,0,Weak
9,0,8,0,1,3.1699,0,0,1,1.0,0,d!bfhtkjn,1,Medium
9,0,6,3,0,3.1699,0,0,1,1.0,0,a83ru7myo,1,Medium
13,2,6,3,2,3.5466,0,0,1,0.9231,0,80aHa$&mxAn4f,2,Strong
15,6,4,3,2,3.7736,0,0,2,0.9333,0,$0HH@hw1RQYoa5C,2,Strong
9,0,8,0,1,3.1699,0,0,1,1.0,0,%zrbaxlnt,1,Medium
17,7,3,5,2,3.7345,0,0,1,0.8235,0,#3wNgF6D8F4Tg8U(J,2,Strong
17,7,4,2,4,3.9698,0,0,2,0.9412,0,^6H(LxK$#bMo9nXXR,2,Strong
14,1,9,2,2,3.6645,0,0,1,0.9286,0,Cloud-flame28@,2,Strong
5,0,0,5,0,1.9219,0,0,2,0.8,0,41337,0,Weak
19,4,4,6,5,4.1427,0,0,1,0.9474,0,vq8)209K*&l$ZD1kG)3,2,Strong
16,5,6,3,2,4.0,0,0,1,1.0,0,0LrFs^*DwA4ylJ5d,2,Strong
16,3,5,3,5,3.5,0,0,1,0.75,0,i&H*fq&%Za9i98*I,2,Strong
7,0,7,0,0,0.0,0,0,7,0.1429,0,xxxxxxx,0,Weak
9,0,6,3,0,2.5033,0,0,2,0.6667,0,uucbl116c,1,Medium
13,5,5,1,2,3.5466,0,0,1,0.9231,0,dr!FHjdBw6VD*,2,Strong
6,0,6,0,0,0.0,0,0,6,0.1667,0,gggggg,0,Weak
16,3,9,2,2,3.625,0,0,1,0.8125,0,3d3vzOxsbvi&s!JF,2,Strong
7,0,0,7,0,2.5216,0,0,1,0.8571,0,3972163,0,Weak
8,0,7,0,1,3.0,0,0,1,1.0,0,szir#unh,1,Medium
4,0,0,4,0,2.0,0,0,1,1.0,0,9625,0,Weak
14,1,9,2,2,3.3788,0,0,1,0.7857,0,Horse-storm12@,2,Strong
10,0,9,0,1,3.1219,0,0,1,0.9,0,h#qvkendvr,1,Medium
16,1,11,2,2,3.625,0,0,2,0.8125,0,Battery-flame92#,2,Strong
9,0,8,0,1,2.9477,0,0,1,0.8889,0,nhlv#tnrz,1,Medium
11,0,9,2,0,3.0958,0,0,2,0.8182,0,ekvqhmie22t,1,Medium
6,0,0,6,0,1.9183,0,0,2,0.6667,0,788211,0,Weak
6,0,6,0,0,2.2516,0,1,1,0.8333,0,batman,0,Weak
10,0,8,2,0,3.3219,0,0,1,1.0,0,z5ntdywm8r,1,Medium
8,0,7,0,1,2.75,0,0,1,0.875,0,gazao!yx,1,Medium
5,0,0,5,0,1.9219,0,0,2,0.8,0,40399,0,Weak
15,6,4,3,2,3.9069,0,0,1,1.0,0,mI%@FqBQ19Cng7Y,2,Strong
13,5,4,1,3,3.3927,0,0,1,0.8462,0,iOXLX%8*Qh*qg,2,Strong
6,0,6,0,0,2.2516,0,0,1,0.8333,0,qnkscn,0,Weak
17,8,5,1,3,3.9698,0,0,1,0.9412,0,J^$hDtBIhVgq&M1FH,2,Strong
13,5,4,1,3,3.7004,0,0,1,1.0,0,qtuPnHZT%D$3&,2,Strong
8,0,7,0,1,3.0,0,0,1,1.0,0,gdv%thfw,1,Medium
5,0,0,5,0,2.3219,0,0,1,1.0,0,18049,0,Weak
15,1,10,2,2,3.5069,0,0,1,0.8,0,Staple-pixel35$,2,Strong
8,4,4,0,0,2.75,0,0,1,0.875,0,qCdbGVaC,1,Medium
18,6,5,4,3,4.0588,0,0,1,0.9444,0,0E@)Zz%5d5FVD2Jqet,2,Strong
10,0,9,0,1,3.1219,0,0,2,0.9,0,knzyjp%stt,1,Medium
4,0,4,0,0,2.0,0,0,1,1.0,0,ilyg,0,Weak
11,0,6,5,0,3.2776,0,0,1,0.9091,0,59tsujt70y2,1,Medium
6,0,6,0,0,0.0,0,0,6,0.1667,0,oooooo,0,Weak
19,6,8,2,3,4.1427,0,0,1,0.9474,0,9(EL!d1oPABpcCleu#o,2,Strong
8,0,7,0,1,2.75,0,0,1,0.875,0,wypwj#cg,1,Medium
14,5,6,1,2,3.4677,0,0,1,0.8571,0,F@dWdbnd!1rAZI,2,Strong
7,0,0,7,0,2.5216,0,0,1,0.8571,0,7479285,0,Weak
8,0,8,0,0,0.0,0,0,8,0.125,0,hhhhhhhh,0,Weak
4,0,0,4,0,2.0,0,0,1,1.0,0,4072,0,Weak
14,1,9,2,2,3.3788,0,0,2,0.7857,0,Pixel-apple59@,2,Strong
8,5,3,0,0,2.75,0,1,1,0.875,0,jneJSEYE,1,Medium
9,0,8,0,1,3.1699,0,0,1,1.0,0,mshcox%dk,1,Medium
4,0,0,4,0,1.5,0,0,2,0.75,0,7066,0,Weak
9,0,5,4,0,3.1699,0,0,1,1.0,0,4w6ozx25q,1,Medium
9,0,7,2,0,3.1699,0,0,1,1.0,0,f86hogdpl,1,Medium
6,0,6,0,0,0.0,0,0,6,0.1667,0,vvvvvv,0,Weak
9,5,4,0,0,2.9477,0,0,1,0.8889,0,OfZAZkbuS,1,Medium
15,6,4,3,2,3.5899,0,0,2,0.8667,0,P99!vXhSa@9IOkQ,2,Strong
5,0,0,5,0,1.9219,0,0,1,0.8,0,83767,0,Weak
18,6,7,2,3,4.0588,0,0,1,0.9444,0,U*MO4aV(D#sb0lyDzk,2,Strong
6,0,6,0,0,0.0,0,0,6,0.1667,0,cccccc,0,Weak
6,0,6,0,0,2.585,0,0,1,1.0,0,master,0,Weak
10,0,9,0,1,3.1219,0,0,2,0.9,0,eptdywws!h,1,Medium
8,3,5,0,0,3.0,0,0,1,1.0,0,hbLYKykc,1,Medium
6,0,6,0,0,2.585,1,0,1,1.0,0,dragon,0,Weak
15,9,3,2,1,3.7736,0,0,1,0.9333,0,QGTF2K^LNpxXzQ7,2,Strong
10,0,8,2,0,2.5219,0,0,2,0.7,0,hllqlld0n5,1,Medium
9,0,6,3,0,2.9477,0,0,2,0.8889,0,1mrr9vwe7,1,Medium
12,5,3,2,2,3.2516,0,0,1,0.8333,0,IA7HIHr2&ne$,2,Strong
19,7,3,3,6,3.9321,0,0,1,0.8421,0,&#!Er2$oIsS6&OAJ6Q#,2,Strong
8,0,8,0,0,0.0,0,0,8,0.125,0,eeeeeeee,0,Weak
15,4,7,3,1,3.7736,0,0,1,0.9333,0,ceRafbZ5kB1R*y7,2,Strong
14,1,9,2,2,3.6645,0,0,1,0.9286,0,River-storm84@,2,Strong
8,0,7,0,1,2.75,0,0,2,0.875,0,bjmmywz$,1,Medium
9,0,6,3,0,3.1699,0,0,1,1.0,0,dp9mgyh52,1,Medium
14,2,6,4,2,3.8074,0,0,1,1.0,0,e2udA871p!Qyo^,2,Strong
6,0,6,0,0,2.585,0,0,1,1.0,0,jrghbf,0,Weak
7,0,7,0,0,0.0,0,0,7,0.1429,0,lllllll,0,Weak
9,0,8,1,0,2.9477,1,1,2,0.8889,0,password1,0,Weak
5,0,0,5,0,1.9219,0,0,1,0.8,0,15189,0,Weak
8,5,3,0,0,3.0,0,0,1,1.0,0,exUGYSXn,1,Medium
12,4,4,3,1,3.585,0,0,1,1.0,0,VN&u6Jjz79Eh,2,Strong
10,0,9,0,1,3.1219,0,0,1,0.9,0,edjtbs%zsg,1,Medium
10,6,4,0,0,2.8464,0,0,2,0.8,0,NxyiEGDvNN,1,Medium
8,0,8,0,0,2.5,0,0,2,0.75,0,football,0,Weak
13,4,3,4,2,3.7004,0,0,1,1.0,0,IeN20j9@7w!EQ,2,Strong
10,0,7,3,0,2.9219,0,0,1,0.8,0,z83yuxyp3h,1,Medium
7,0,7,0,0,2.8074,0,0,1,1.0,0,nywkazs,0,Weak
8,0,8,0,0,0.0,0,0,8,0.125,0,zzzzzzzz,0,Weak
17,7,6,2,2,3.8522,0,0,1,0.8824,0,9gb8wIaI#FRDli&RO,2,Strong
10,4,6,0,0,3.1219,0,0,1,0.9,0,KoeTtRpBjt,1,Medium
4,0,4,0,0,2.0,0,0,1,1.0,0,lxos,0,Weak
8,5,3,0,0,2.75,0,0,1,0.875,0,VbNehVOE,1,Medium
11,0,9,2,0,3.0958,0,0,1,0.8182,0,ms4tsrw2mdg,1,Medium
13,4,4,2,3,3.7004,0,0,1,1.0,0,ye*GsW1^kJ!2L,2,Strong
7,0,7,0,0,2.8074,0,0,1,1.0,0,pytbxoe,0,Weak
8,0,8,0,0,0.0,0,0,8,0.125,0,wwwwwwww,0,Weak
8,0,4,4,0,3.0,0,0,1,1.0,0,e346z7wq,1,Medium
5,0,0,5,0,2.3219,1,0,1,1.0,1,12345,0,Weak
8,0,5,3,0,3.0,0,0,1,1.0,0,nd7h10ky,1,Medium
15,5,5,1,4,3.7736,0,0,1,0.9333,0,yE#Yb%5*yBzR@sV,2,Strong
4,0,4,0,0,2.0,0,0,1,1.0,0,fruh,0,Weak
14,1,9,2,2,3.6645,0,0,1,0.9286,0,River-ocean32@,2,Strong
6,0,0,6,0,1.4591,0,0,2,0.5,0,553358,0,Weak
14,3,8,2,1,3.6645,0,0,1,0.9286,0,aZc^xJ9nza6emV,2,Strong
8,0,7,1,0,2.5,0,0,1,0.75,0,tfytks1f,1,Medium
8,0,8,0,0,0.0,0,0,8,0.125,0,yyyyyyyy,0,Weak
4,0,0,4,0,2.0,0,0,1,1.0,0,5780,0,Weak
12,6,6,0,0,3.2516,0,0,1,0.8333,0,auaIxvIMLpQG,1,Medium
7,0,7,0,0,0.0,0,0,7,0.1429,0,ggggggg,0,Weak
8,0,8,0,0,3.0,0,1,1,1.0,0,superman,0,Weak
16,3,7,2,4,3.75,0,0,1,0.875,0,t9KBfg$!xknB^m1!,2,Strong
9,4,5,0,0,3.1699,0,0,1,1.0,0,HeypKSMbx,1,Medium
10,0,9,0,1,3.1219,0,0,1,0.9,0,fknl%dyvml,1,Medium
7,0,0,7,0,2.2359,0,0,2,0.7143,0,8006997,0,Weak
10,5,5,0,0,3.1219,0,0,1,0.9,0,YOcsxiWLoY,1,Medium
14,1,9,2,2,3.6645,0,0,1,0.9286,0,River-storm27$,2,Strong
20,6,7,3,4,4.0219,0,0,1,0.85,0,O^TZ4r4wNoior*%kDB0$,2,Strong
12,8,4,0,0,3.4183,0,0,1,0.9167,0,GztSWqGAOIxU,1,Medium
14,7,3,1,3,3.5216,0,0,1,0.8571,0,BMLRBZn3$R!d&x,2,Strong
13,5,4,3,1,3.7004,0,0,1,1.0,0,Mh3LB6c0xAHn%,2,Strong
15,1,10,2,2,3.6402,0,0,1,0.8667,0,Staple-river43@,2,Strong
11,0,8,3,0,3.4594,0,0,1,1.0,0,tnyfm7vh30q,1,Medium
10,0,9,0,1,2.8464,0,0,1,0.8,0,pb#jxdhxrx,1,Medium
4,0,0,4,0,2.0,0,0,1,1.0,0,0723,0,Weak
10,0,9,0,1,2.6464,0,0,1,0.7,0,xfcfgkf%xb,1,Medium
5,0,0,5,0,1.9219,0,0,2,0.8,0,40225,0,Weak
14,1,9,2,2,3.5216,0,0,1,0.8571,0,Storm-tiger14!,2,Strong
13,3,3,6,1,3.027,0,0,2,0.6923,0,Q4fee46*764AV,2,Strong
13,4,3,3,3,3.7004,0,0,1,1.0,0,Tfd4KQ&u@9*7W,2,Strong
15,5,3,2,5,3.9069,0,0,1,1.0,0,E&MS^2*!iBK5bv%,2,Strong
8,0,8,0,0,2.75,0,0,2,0.875,0,princess,0,Weak
8,0,7,0,1,2.5,0,0,1,0.75,0,qgo@geqs,1,Medium
8,0,6,2,0,2.75,0,0,1,0.875,0,cv6hve8d,1,Medium
20,5,6,5,4,3.8842,0,0,2,0.8,0,0O*ENrbl@@22ng0@dWV1,2,Strong
4,0,4,0,0,0.0,0,0,4,0.25,0,iiii,0,Weak
9,0,8,0,1,2.9477,0,0,1,0.8889,0,by%tckxko,1,Medium
8,0,5,3,0,2.75,0,0,2,0.875,0,ej9c0uu5,1,Medium
13,5,3,3,2,3.7004,0,0,1,1.0,0,9%DI2Pkzl^M1V,2,Strong
8,0,6,2,0,3.0,0,0,1,1.0,0,03ragvlk,1,Medium
7,0,7,0,0,2.8074,0,0,1,1.0,0,nsgjpby,0,Weak
4,0,0,4,0,1.5,0,0,2,0.75,0,5099,0,Weak
8,0,7,0,1,2.75,0,0,1,0.875,0,f$ptjivp,1,Medium
4,0,4,0,0,2.0,0,0,1,1.0,0,uxiw,0,Weak
5,0,5,0,0,0.0,0,0,5,0.2,0,rrrrr,0,Weak
7,0,7,0,0,0.0,0,0,7,0.1429,0,iiiiiii,0,Weak
5,0,5,0,0,0.0,0,0,5,0.2,0,nnnnn,0,Weak
10,0,8,2,0,3.3219,0,0,1,1.0,0,kryt6ebin0,1,Medium
6,0,6,0,0,2.585,1,0,1,1.0,1,qwerty,0,Weak
14,1,9,2,2,3.2359,0,0,1,0.7143,0,Cloud-cloud12!,2,Strong
6,0,6,0,0,2.585,0,0,1,1.0,0,bqyxra,0,Weak
5,0,0,5,0,1.371,0,0,2,0.6,0,40020,0,Weak
15,1,10,2,2,3.1899,0,0,2,0.6667,0,Staple-apple56%,2,Strong
15,4,6,3,2,3.9069,0,0,1,1.0,0,#Tus78NfSn@bt0X,2,Strong
8,0,5,3,0,3.0,0,0,1,1.0,0,3dxwor17,1,Medium
11,0,10,1,0,3.0958,0,0,1,0.8182,0,uij0yxiyqbv,1,Medium
9,0,8,0,1,2.9477,0,0,1,0.8889,0,eotmtpgl@,1,Medium
17,1,12,2,2,3.5725,0,0,2,0.7647,0,Battery-staple83#,2,Strong
6,0,6,0,0,2.585,1,0,1,1.0,0,dragon,0,Weak
19,5,6,3,5,3.9321,0,0,1,0.8421,0,zj@$%QeXYmd@R4*24aY,2,Strong
13,2,6,2,3,3.3927,0,0,2,0.8462,0,k!!Pc^fR8rwa8,2,Strong
5,0,5,0,0,2.3219,1,0,1,1.0,0,login,0,Weak
4,0,0,4,0,1.5,0,0,2,0.75,0,9577,0,Weak
8,0,7,0,1,2.75,0,0,2,0.875,0,aa#opfcm,1,Medium
5,0,5,0,0,1.9219,0,0,2,0.8,0,gucww,0,Weak
9,0,6,3,0,2.9477,0,0,1,0.8889,0,0dpjhsg04,1,Medium
16,6,5,2,3,3.75,0,0,1,0.875,0,B1V%k*c$9OEtVBmv,2,Strong
8,0,0,8,0,3.0,1,0,1,1.0,1,12345678,0,Weak
10,0,6,4,0,3.1219,0,0,1,0.9,0,3eram4be52,1,Medium
9,0,5,4,0,3.1699,0,0,1,1.0,0,0wpj8yi34,1,Medium
9,0,8,0,1,3.1699,0,0,1,1.0,0,gawzq%oif,1,Medium
4,0,0,4,0,2.0,0,0,1,1.0,0,2651,0,Weak
8,0,8,0,0,0.0,0,0,8,0.125,0,kkkkkkkk,0,Weak
11,0,9,2,0,3.2776,0,0,1,0.9091,0,pgvtn4ypkw7,1,Medium
6,0,6,0,0,2.585,0,0,1,1.0,0,hkqefv,0,Weak
20,5,6,5,4,4.3219,0,0,1,1.0,0,p7Pul)&ca26A(T91D!tN,2,Strong
10,0,9,0,1,2.7219,0,0,2,0.7,0,t$uaaxdtwd,1,Medium
13,3,5,4,1,3.7004,0,0,1,1.0,0,8Mduq^N0kCm57,2,Strong
6,0,0,6,0,1.585,1,0,1,0.5,0,123123,0,Weak
12,5,4,1,2,3.4183,0,0,1,0.9167,0,UEM#w%jWUro8,2,Strong
9,4,5,0,0,2.9477,0,0,1,0.8889,0,urcRPuQyY,1,Medium
10,6,4,0,0,3.1219,0,0,2,0.9,0,PzCIIrAdtH,1,Medium
9,0,7,2,0,2.9477,0,0,1,0.8889,0,0qraqik3o,1,Medium
6,0,6,0,0,2.585,1,0,1,1.0,1,qwerty,0,Weak
14,7,4,2,1,3.5216,0,0,2,0.8571,0,3HHi7USkyMk!PB,2,Strong
12,7,3,1,1,3.585,0,0,1,1.0,0,EKVX4OlRhc$L,2,Strong
11,4,7,0,0,3.2776,0,0,1,0.9091,0,ksHexenTdCJ,1,Medium
10,5,5,0,0,3.1219,0,0,1,0.9,0,efPmzEIfOK,1,Medium
